feature_1,feature_2,feature_3,feature_4,feature_5,target
0.6075831061866911,0.0070653750005631455,0.6287895934302841,0.9100815845123863,0.2596332265754846,0
0.9435144436670906,0.6203453551631946,0.42733575669937796,0.28793089705069086,0.6005500852239095,0
0.7301993116570715,0.9309045965624564,0.8928593577411867,0.23019761686964213,0.4778799208965776,1
0.6966747041570285,0.9723259225922192,0.11238332017521979,0.8205757000152311,0.8260782480940335,0
0.7345473233164429,0.6976373433448946,0.30646390027624393,0.8967851218072614,0.9954635385485304,1
0.530520380992172,0.8288250954773086,0.8952197552072733,0.9323296899047872,0.5595181405776114,1
0.3792437694811567,0.05150669544897346,0.48793583914267125,0.33068856277324743,0.10540059233917731,0
0.1479068476901958,0.09254248803206178,0.06186538220994209,0.033576889464796644,0.3953679913798863,1
0.7163440988447178,0.36286130966775487,0.27555928258213835,0.3426321720849238,0.5145248298415931,0
0.6608542788376766,0.1338850156504724,0.18681308814496045,0.3480777559004026,0.9015523101119546,0
0.3599148879700095,0.07208354628112934,0.2966405965690152,0.5585284959664182,0.09737248729334724,0
0.5271253353201324,0.9464787997586633,0.9800521503488978,0.7766239746914789,0.14793553982712182,1
0.609005956066861,0.35887413432222004,0.8292159884599795,0.1835050929114146,0.09358716121332467,1
0.551579098469041,0.8371201979948368,0.2592688317916416,0.6767379871837206,0.6856366686971905,0
0.6898866434590831,0.8997216089737804,0.43380962987609195,0.2866926570913064,0.7214447630438928,0
0.5317263127884113,0.14718393160103338,0.8074983003611885,0.45899627973933776,0.11949984255957347,0
0.5417964416438953,0.7734429781126163,0.3057582140975105,0.5833408371067447,0.4580481214641232,1
0.6817783523396671,0.6521412864564978,0.6854593104884013,0.3409757128075718,0.419928196314865,1
0.5705192359494894,0.47257746104354104,0.40759010666568274,0.7084577716863852,0.8481617268773498,0
0.2070232235477646,0.7868022571726974,0.9884549094626276,0.7204761037943463,0.30797389108981543,1
0.7319163543066141,0.09056018937742716,0.3540472954920274,0.9439852235533229,0.12407072207600489,0
0.020791485976698998,0.7449871144199988,0.47053817260301667,0.4810085693027377,0.15772632182685475,1
0.07524660915726811,0.38753835668080094,0.8607048600369067,0.33085633087715405,0.7355276331346359,1
